correction,error,editop,correct_char,idxw,error_char,idxe,e|w
анализа,анллиза,replace,а,2,л,2,л|а
апост,аност,replace,п,1,н,1,н|п
антагонист,антагонис,delete,т,9,-,9,с|ст
ангел,антел,replace,г,2,т,2,т|г
аѳонскому,аоонскому,replace,ѳ,1,о,1,о|ѳ
анатомо,апатомо,replace,н,1,п,1,п|н
апрѣля,апрьля,replace,ѣ,3,ь,3,ь|ѣ
античныхъ,аптичныхъ,replace,н,1,п,1,п|н
армией,армией3,insert,-,6,3,6,й3|й
армянскій,армянск1й,replace,і,7,1,7,1|і
арсеналѣ,арсеналЬ,replace,ѣ,7,Ь,7,Ь|ѣ
архіепископля,арх1епископля,replace,і,3,1,3,1|і
архидіакона,архиддакона,replace,і,5,д,5,д|і
архиепископ,архиеписко,delete,п,10,-,10,о|оп
архимандрія,архимандр1я,replace,і,9,1,9,1|і
архитектурно,архнтектурно,replace,и,3,н,3,н|и
ассигнования,ассигиования,replace,н,5,и,5,и|н
ассигнованія,ассигнован1я,replace,і,10,1,10,1|і
закона,яакона,replace,з,0,я,0,я|з
явленія,явлен.я,replace,і,5,.,5,.|і
явленія,явленйя,replace,і,5,й,5,й|і
явить,явнть,replace,и,2,н,2,н|и
является,ядляется,replace,в,1,д,1,д|в
золото,яолото,replace,з,0,я,0,я|з
получить,яолучить,replace,п,0,я,0,я|п
ясность,ясиость,replace,н,2,и,2,и|н
ясності,ясностт,replace,і,6,т,6,т|і
ящикѣ,ящикв,replace,ѣ,4,в,4,в|ѣ
Августинъ,Августннъ,replace,и,6,н,6,н|и
Австралии,Австралии1,insert,-,9,1,9,и1|и
Австрии,Австрии1,insert,-,7,1,7,и1|и
Адріа,Адр1а,replace,і,3,1,3,1|і
Азов,Азов1,insert,-,4,1,4,в1|в
Анджело,Аиджело,replace,н,1,и,1,и|н
Александровки,Александровкн,replace,и,12,н,12,н|и
Алиханова,Алнханова,replace,и,2,н,2,н|и
Америки,Амеоики,replace,р,3,о,3,о|р
Амурской,Амурскои,replace,й,7,и,7,и|й
Апостола,Аностола,replace,п,1,н,1,н|п
Аргиропуло,Аргнропуло,replace,и,3,н,3,н|и
Архіерея,Архйерея,replace,і,3,й,3,й|і
Яковенко,Яковепко,replace,н,5,п,5,п|н
залежи,аалежи,replace,з,0,а,0,а|з
застройки,аастройки,replace,з,0,а,0,а|з
таблица,аблица,delete,т,0,-,0,а|та
авантюры,аваптюры,replace,н,3,п,3,п|н
августъ,августБ,replace,ъ,6,Б,6,Б|ъ
австралійцы,австрал1йцы,replace,і,7,1,7,1|і
австрійскйе,австрййскйе,replace,і,5,й,5,й|і
магистр,агистр,delete,м,0,-,0,а|ма
декабря,аекабря,replace,д,0,а,0,а|д
азіатское,аз1атское,replace,і,2,1,2,1|і
разницы,азницы,delete,р,0,-,0,а|ра
академическаго,акадеиическаго,replace,м,5,и,5,и|м
активность,активпость,replace,н,5,п,5,п|н
амвона,амвопа,replace,н,4,п,4,п|н
американскій,американск1й,replace,і,10,1,10,1|і
американской,америкапской,replace,н,7,п,7,п|н
анализа,аналиеа,replace,з,5,е,5,е|з
анаѳемой,анаоемой,replace,ѳ,3,о,3,о|ѳ
А.Ахматовой,А.Ахматовой,equal,-,0,-,0,|
А.Шахматова,А.Шахматова,equal,-,0,-,0,|
АЛЕКСЕ,АЛЕКСЕ,equal,-,0,-,0,|
АННЕНКОВУ,АННЕНКОВУ,equal,-,0,-,0,|
АРУСТАМЯН,АРУСТАМЯН,equal,-,0,-,0,|
Абайской,Абайской,equal,-,0,-,0,|
Абрамовне,Абрамовне,equal,-,0,-,0,|
Абрамцева,Абрамцева,equal,-,0,-,0,|
Абрашку,Абрашку,equal,-,0,-,0,|
Аверюева,Аверюева,equal,-,0,-,0,|
Ависа,Ависа,equal,-,0,-,0,|
Авксен,Авксен,equal,-,0,-,0,|
Аврашко,Аврашко,equal,-,0,-,0,|
Австрио,Австрио,equal,-,0,-,0,|
Агапеева,Агапеева,equal,-,0,-,0,|
Агафоновна,Агафоновна,equal,-,0,-,0,|
Аггрегаты,Аггрегаты,equal,-,0,-,0,|
Агенды,Агенды,equal,-,0,-,0,|
Аграфениной,Аграфениной,equal,-,0,-,0,|
Аделейда,Аделейда,equal,-,0,-,0,|
Аджан,Аджан,equal,-,0,-,0,|
Адриано,Адриано,equal,-,0,-,0,|
Адриенна,Адриенна,equal,-,0,-,0,|
Аитутаки,Аитутаки,equal,-,0,-,0,|
Айакучо,Айакучо,equal,-,0,-,0,|
Айлэнд,Айлэнд,equal,-,0,-,0,|
Айнали,Айнали,equal,-,0,-,0,|
Айяла,Айяла,equal,-,0,-,0,|
Акатовым,Акатовым,equal,-,0,-,0,|
Акмолинском,Акмолинском,equal,-,0,-,0,|
Акритаса,Акритаса,equal,-,0,-,0,|
Аксумской,Аксумской,equal,-,0,-,0,|
Актимона,Актимона,equal,-,0,-,0,|
Актюбинска,Актюбинска,equal,-,0,-,0,|
Акульке,Акульке,equal,-,0,-,0,|
Акчам,Акчам,equal,-,0,-,0,|
Александретты,Александретты,equal,-,0,-,0,|
Алеппа,Алеппа,equal,-,0,-,0,|
Алехино,Алехино,equal,-,0,-,0,|
Алешиным,Алешиным,equal,-,0,-,0,|
Алиевы,Алиевы,equal,-,0,-,0,|
Алпатовой,Алпатовой,equal,-,0,-,0,|
Амальриха,Амальриха,equal,-,0,-,0,|
Амарантосъ,Амарантосъ,equal,-,0,-,0,|
Амбагая,Амбагая,equal,-,0,-,0,|
Амвросиева,Амвросиева,equal,-,0,-,0,|
Амдерме,Амдерме,equal,-,0,-,0,|
Анадольской,Анадольской,equal,-,0,-,0,|
Анаксимену,Анаксимену,equal,-,0,-,0,|
Ананьевки,Ананьевки,equal,-,0,-,0,|
Анастасьев,Анастасьев,equal,-,0,-,0,|
Анастасьеву,Анастасьеву,equal,-,0,-,0,|
Анатра,Анатра,equal,-,0,-,0,|
Ангулема,Ангулема,equal,-,0,-,0,|
Андаманцы,Андаманцы,equal,-,0,-,0,|
Андресом,Андресом,equal,-,0,-,0,|
Андрюшин,Андрюшин,equal,-,0,-,0,|
Анзеры,Анзеры,equal,-,0,-,0,|
Анкламе,Анкламе,equal,-,0,-,0,|
Аннаму,Аннаму,equal,-,0,-,0,|
Антипатре,Антипатре,equal,-,0,-,0,|
Антипьевский,Антипьевский,equal,-,0,-,0,|
Антоненкова,Антоненкова,equal,-,0,-,0,|
Антуанского,Антуанского,equal,-,0,-,0,|
Аньелли,Аньелли,equal,-,0,-,0,|
Аппендини,Аппендини,equal,-,0,-,0,|
Аппенинский,Аппенинский,equal,-,0,-,0,|
Аралтюбе,Аралтюбе,equal,-,0,-,0,|
Аргентовым,Аргентовым,equal,-,0,-,0,|
Аргишти,Аргишти,equal,-,0,-,0,|
Ардеш,Ардеш,equal,-,0,-,0,|
Арзамазова,Арзамазова,equal,-,0,-,0,|
Арнгольдта,Арнгольдта,equal,-,0,-,0,|
Артвин,Артвин,equal,-,0,-,0,|
Артюховой,Артюховой,equal,-,0,-,0,|
Архангелогородцкой,Архангелогородцкой,equal,-,0,-,0,|
Архангелского,Архангелского,equal,-,0,-,0,|
Архаровымъ,Архаровымъ,equal,-,0,-,0,|
Архитекторскаго,Архитекторскаго,equal,-,0,-,0,|
Арчады,Арчады,equal,-,0,-,0,|
Аршеневской,Аршеневской,equal,-,0,-,0,|
Астрадамовка,Астрадамовка,equal,-,0,-,0,|
Астриде,Астриде,equal,-,0,-,0,|
Атабека,Атабека,equal,-,0,-,0,|
Аталыковы,Аталыковы,equal,-,0,-,0,|
Аттиле,Аттиле,equal,-,0,-,0,|
Атуеву,Атуеву,equal,-,0,-,0,|
Ауэзов,Ауэзов,equal,-,0,-,0,|
Афонине,Афонине,equal,-,0,-,0,|
Афуле,Афуле,equal,-,0,-,0,|
Ахавъ,Ахавъ,equal,-,0,-,0,|
Ахалцихскаго,Ахалцихскаго,equal,-,0,-,0,|
Ахове,Ахове,equal,-,0,-,0,|
Ахуны,Ахуны,equal,-,0,-,0,|
Ашану,Ашану,equal,-,0,-,0,|
Ядловского,Ядловского,equal,-,0,-,0,|
Яковлевскомъ,Яковлевскомъ,equal,-,0,-,0,|
Якущенко,Якущенко,equal,-,0,-,0,|
Ямбургском,Ямбургском,equal,-,0,-,0,|
Яндове,Яндове,equal,-,0,-,0,|
Янишъ,Янишъ,equal,-,0,-,0,|
Янковская,Янковская,equal,-,0,-,0,|
Янчевской,Янчевской,equal,-,0,-,0,|
Яргина,Яргина,equal,-,0,-,0,|
Яроши,Яроши,equal,-,0,-,0,|
Ясныгина,Ясныгина,equal,-,0,-,0,|
Ястребарско,Ястребарско,equal,-,0,-,0,|
Ященкова,Ященкова,equal,-,0,-,0,|
австралорп,австралорп,equal,-,0,-,0,|
агинскими,агинскими,equal,-,0,-,0,|
агрегати,агрегати,equal,-,0,-,0,|
адинолы,адинолы,equal,-,0,-,0,|
адогматична,адогматична,equal,-,0,-,0,|
адьютантомъ,адьютантомъ,equal,-,0,-,0,|
аканто,аканто,equal,-,0,-,0,|
акрифлавин,акрифлавин,equal,-,0,-,0,|
акторовъ,акторовъ,equal,-,0,-,0,|
акценатске,акценатске,equal,-,0,-,0,|
алатырскаго,алатырскаго,equal,-,0,-,0,|
алектическое,алектическое,equal,-,0,-,0,|
алемановъ,алемановъ,equal,-,0,-,0,|
алеутамъ,алеутамъ,equal,-,0,-,0,|
алинита,алинита,equal,-,0,-,0,|
алкохолизма,алкохолизма,equal,-,0,-,0,|
аллеман,аллеман,equal,-,0,-,0,|
алтон,алтон,equal,-,0,-,0,|
альдиминам,альдиминам,equal,-,0,-,0,|
альтерна,альтерна,equal,-,0,-,0,|
алюминя,алюминя,equal,-,0,-,0,|
амгинскую,амгинскую,equal,-,0,-,0,|
амезита,амезита,equal,-,0,-,0,|
амфоровидный,амфоровидный,equal,-,0,-,0,|
анбаром,анбаром,equal,-,0,-,0,|
ангелского,ангелского,equal,-,0,-,0,|
англояпонского,англояпонского,equal,-,0,-,0,|
андезитодацитовой,андезитодацитовой,equal,-,0,-,0,|
анения,анения,equal,-,0,-,0,|
анзина,анзина,equal,-,0,-,0,|
аномерных,аномерных,equal,-,0,-,0,|
антибатной,антибатной,equal,-,0,-,0,|
антивизантийскую,антивизантийскую,equal,-,0,-,0,|
антикороля,антикороля,equal,-,0,-,0,|
антимисы,антимисы,equal,-,0,-,0,|
антропоморфы,антропоморфы,equal,-,0,-,0,|
антрс,антрс,equal,-,0,-,0,|
аплиту,аплиту,equal,-,0,-,0,|
апостольск,апостольск,equal,-,0,-,0,|
апостольствовать,апостольствовать,equal,-,0,-,0,|
арабизованную,арабизованную,equal,-,0,-,0,|
арапомъ,арапомъ,equal,-,0,-,0,|
ареву,ареву,equal,-,0,-,0,|
арестуемаго,арестуемаго,equal,-,0,-,0,|
армияхъ,армияхъ,equal,-,0,-,0,|
ароме,ароме,equal,-,0,-,0,|
артилеристовъ,артилеристовъ,equal,-,0,-,0,|
археологизма,археологизма,equal,-,0,-,0,|
архиереов,архиереов,equal,-,0,-,0,|
архипастырскимъ,архипастырскимъ,equal,-,0,-,0,|
архистратиже,архистратиже,equal,-,0,-,0,|
архитектонами,архитектонами,equal,-,0,-,0,|
асиль,асиль,equal,-,0,-,0,|
асиндетон,асиндетон,equal,-,0,-,0,|
асканских,асканских,equal,-,0,-,0,|
аскоспорами,аскоспорами,equal,-,0,-,0,|
аспарагиназы,аспарагиназы,equal,-,0,-,0,|
ассиметрич,ассиметрич,equal,-,0,-,0,|
астроориентация,астроориентация,equal,-,0,-,0,|
атическое,атическое,equal,-,0,-,0,|
атомистовъ,атомистовъ,equal,-,0,-,0,|
атпустить,атпустить,equal,-,0,-,0,|
аттическихъ,аттическихъ,equal,-,0,-,0,|
ахуны,ахуны,equal,-,0,-,0,|
ашатской,ашатской,equal,-,0,-,0,|
явленныхъ,явленныхъ,equal,-,0,-,0,|
ядуть,ядуть,equal,-,0,-,0,|
яиком,яиком,equal,-,0,-,0,|
ялаппы,ялаппы,equal,-,0,-,0,|
янтарки,янтарки,equal,-,0,-,0,|
японофильскую,японофильскую,equal,-,0,-,0,|
ярата,ярата,equal,-,0,-,0,|
яркоокрашенный,яркоокрашенный,equal,-,0,-,0,|
ясенелистный,ясенелистный,equal,-,0,-,0,|
ясенника,ясенника,equal,-,0,-,0,|
ясмины,ясмины,equal,-,0,-,0,|
ясненное,ясненное,equal,-,0,-,0,|
ясненной,ясненной,equal,-,0,-,0,|
А.Блока,А.Блока,equal,-,0,-,0,|
А.Гончарова,А.Гончарова,equal,-,0,-,0,|
А.Н.Пыпина,А.Н.Пыпина,equal,-,0,-,0,|
Абаеву,Абаеву,equal,-,0,-,0,|
Абдулкина,Абдулкина,equal,-,0,-,0,|
Абовьян,Абовьян,equal,-,0,-,0,|
Абраму,Абраму,equal,-,0,-,0,|
Абруя,Абруя,equal,-,0,-,0,|
Аваме,Аваме,equal,-,0,-,0,|
Авдюхину,Авдюхину,equal,-,0,-,0,|
Аврова,Аврова,equal,-,0,-,0,|
Авчальская,Авчальская,equal,-,0,-,0,|
Агану,Агану,equal,-,0,-,0,|
Аггелов,Аггелов,equal,-,0,-,0,|
Агинское,Агинское,equal,-,0,-,0,|
Агиты,Агиты,equal,-,0,-,0,|
Агнеты,Агнеты,equal,-,0,-,0,|
Агрикан,Агрикан,equal,-,0,-,0,|
Ададуров,Ададуров,equal,-,0,-,0,|
Адаше,Адаше,equal,-,0,-,0,|
Адьюнкт,Адьюнкт,equal,-,0,-,0,|
Азаков,Азаков,equal,-,0,-,0,|
Айдару,Айдару,equal,-,0,-,0,|
Айзеку,Айзеку,equal,-,0,-,0,|
Айлингтоне,Айлингтоне,equal,-,0,-,0,|
Аксельрод,Аксельрод,equal,-,0,-,0,|
Аксуйская,Аксуйская,equal,-,0,-,0,|
Аланта,Аланта,equal,-,0,-,0,|
Албота,Албота,equal,-,0,-,0,|
Албрехтъ,Албрехтъ,equal,-,0,-,0,|
Алдону,Алдону,equal,-,0,-,0,|
Александрины,Александрины,equal,-,0,-,0,|
Алексееву,Алексееву,equal,-,0,-,0,|
Алешиными,Алешиными,equal,-,0,-,0,|
Алкуинъ,Алкуинъ,equal,-,0,-,0,|
Аллаш,Аллаш,equal,-,0,-,0,|
Алуды,Алуды,equal,-,0,-,0,|
Альдо,Альдо,equal,-,0,-,0,|
Альдонсы,Альдонсы,equal,-,0,-,0,|
Алькье,Алькье,equal,-,0,-,0,|
Альмо,Альмо,equal,-,0,-,0,|
Альста,Альста,equal,-,0,-,0,|
Аманкарагайской,Аманкарагайской,equal,-,0,-,0,|
Аматузия,Аматузия,equal,-,0,-,0,|
Амулем,Амулем,equal,-,0,-,0,|
Амулий,Амулий,equal,-,0,-,0,|
Анабелле,Анабелле,equal,-,0,-,0,|
Анасашвили,Анасашвили,equal,-,0,-,0,|
Англинскихъ,Англинскихъ,equal,-,0,-,0,|
Андалале,Андалале,equal,-,0,-,0,|
Андало,Андало,equal,-,0,-,0,|
Андревне,Андревне,equal,-,0,-,0,|
Аникеевой,Аникеевой,equal,-,0,-,0,|
Аннинскимъ,Аннинскимъ,equal,-,0,-,0,|
Анницы,Анницы,equal,-,0,-,0,|
Антем,Антем,equal,-,0,-,0,|
Антипову,Антипову,equal,-,0,-,0,|
Антипольская,Антипольская,equal,-,0,-,0,|
Антипом,Антипом,equal,-,0,-,0,|
Анцеловича,Анцеловича,equal,-,0,-,0,|
Арбенина,Арбенина,equal,-,0,-,0,|
Аргамаково,Аргамаково,equal,-,0,-,0,|
Аргис,Аргис,equal,-,0,-,0,|
Арефьевны,Арефьевны,equal,-,0,-,0,|
Аристовулу,Аристовулу,equal,-,0,-,0,|
Арнольдовъ,Арнольдовъ,equal,-,0,-,0,|
Арову,Арову,equal,-,0,-,0,|
Арпадъ,Арпадъ,equal,-,0,-,0,|
Арпачина,Арпачина,equal,-,0,-,0,|
Арсентьича,Арсентьича,equal,-,0,-,0,|
Арсеньевская,Арсеньевская,equal,-,0,-,0,|
Артапана,Артапана,equal,-,0,-,0,|
Артигасу,Артигасу,equal,-,0,-,0,|
Арубы,Арубы,equal,-,0,-,0,|
Архая,Архая,equal,-,0,-,0,|
Асеведо,Асеведо,equal,-,0,-,0,|
Асины,Асины,equal,-,0,-,0,|
Асяново,Асяново,equal,-,0,-,0,|
Атактическая,Атактическая,equal,-,0,-,0,|
Аталайя,Аталайя,equal,-,0,-,0,|
Атбасару,Атбасару,equal,-,0,-,0,|
Атенсе,Атенсе,equal,-,0,-,0,|
Атропатене,Атропатене,equal,-,0,-,0,|
Афонька,Афонька,equal,-,0,-,0,|
Ахаткина,Ахаткина,equal,-,0,-,0,|
Ахиезера,Ахиезера,equal,-,0,-,0,|
Ахчипсоу,Ахчипсоу,equal,-,0,-,0,|
Аюдаге,Аюдаге,equal,-,0,-,0,|
Яворський,Яворський,equal,-,0,-,0,|
Ягужинский,Ягужинский,equal,-,0,-,0,|
Ядриицева,Ядриицева,equal,-,0,-,0,|
Языче,Языче,equal,-,0,-,0,|
Яковлеве,Яковлеве,equal,-,0,-,0,|
Яковлевку,Яковлевку,equal,-,0,-,0,|
Якубовскаго,Якубовскаго,equal,-,0,-,0,|
Ялуторовскую,Ялуторовскую,equal,-,0,-,0,|
Ялуцзян,Ялуцзян,equal,-,0,-,0,|
Ямаока,Ямаока,equal,-,0,-,0,|
Ямскова,Ямскова,equal,-,0,-,0,|
Янковского,Янковского,equal,-,0,-,0,|
Яновымъ,Яновымъ,equal,-,0,-,0,|
Янькова,Янькова,equal,-,0,-,0,|
Япона,Япона,equal,-,0,-,0,|
Яржемским,Яржемским,equal,-,0,-,0,|
Ярмыша,Ярмыша,equal,-,0,-,0,|
Ярушкина,Ярушкина,equal,-,0,-,0,|
Ярышевская,Ярышевская,equal,-,0,-,0,|
Ясашной,Ясашной,equal,-,0,-,0,|
Ясеневе,Ясеневе,equal,-,0,-,0,|
абины,абины,equal,-,0,-,0,|
августинизмъ,августинизмъ,equal,-,0,-,0,|
авирулентного,авирулентного,equal,-,0,-,0,|
австрогерманскими,австрогерманскими,equal,-,0,-,0,|
австрофилы,австрофилы,equal,-,0,-,0,|
авторизов,авторизов,equal,-,0,-,0,|
агатовидной,агатовидной,equal,-,0,-,0,|
агевты,агевты,equal,-,0,-,0,|
агентима,агентима,equal,-,0,-,0,|
аглинскому,аглинскому,equal,-,0,-,0,|
агнатных,агнатных,equal,-,0,-,0,|
адинистративно,адинистративно,equal,-,0,-,0,|
адмиралтей,адмиралтей,equal,-,0,-,0,|
адыгэ,адыгэ,equal,-,0,-,0,|
адьюнктъ,адьюнктъ,equal,-,0,-,0,|
академска,академска,equal,-,0,-,0,|
акросомы,акросомы,equal,-,0,-,0,|
акуратное,акуратное,equal,-,0,-,0,|
акционарско,акционарско,equal,-,0,-,0,|
алдынан,алдынан,equal,-,0,-,0,|
алены,алены,equal,-,0,-,0,|
алмазоподобной,алмазоподобной,equal,-,0,-,0,|
альвов,альвов,equal,-,0,-,0,|
альтруизмъ,альтруизмъ,equal,-,0,-,0,|
амбулаторнополиклиническую,амбулаторнополиклиническую,equal,-,0,-,0,|
амири,амири,equal,-,0,-,0,|
амиши,амиши,equal,-,0,-,0,|
амореевъ,амореевъ,equal,-,0,-,0,|
анархо,анархо,equal,-,0,-,0,|
